location,property_type,bedrooms,bathrooms,size_sqft,amenities,amenity_score,has_parking,has_pool,has_gym,has_security,has_garden,has_generator,has_borehole,has_staff_quarters,has_aircon,has_internet,price_kes,price_per_sqft,listing_date,month,month_name,is_land,source
"Nyari, Westlands",Villa,5,5,3772.75,Staff quarters,1,0,0,0,0,0,0,0,1,0,0,350000.0,92.77,2026-02-22,2,February,0,BuyRentKenya
"Runda, Westlands",House,2,2,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,140000.0,54.19,2026-02-22,2,February,0,BuyRentKenya
Kileleshwa,Townhouse,5,5,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,200000.0,116.13,2026-02-22,2,February,0,BuyRentKenya
"Spring Valley, Westlands",House,4,4,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,400000.0,154.84,2026-02-22,2,February,0,BuyRentKenya
Karen,House,5,6,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,650000.0,251.61,2026-02-22,2,February,0,BuyRentKenya
Karen,House,3,3,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,200000.0,77.42,2026-02-22,2,February,0,BuyRentKenya
"Runda, Westlands",House,5,4,2583.34,Garden,1,0,0,0,0,1,0,0,0,0,0,480000.0,185.81,2026-02-22,2,February,0,BuyRentKenya
Lavington,Townhouse,5,6,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,380000.0,220.65,2026-02-22,2,February,0,BuyRentKenya
"Nyari, Westlands",House,6,6,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,450000.0,174.19,2026-02-22,2,February,0,BuyRentKenya
Syokimau,Villa,5,5,3772.75,None,0,0,0,0,0,0,0,0,0,0,0,100000.0,26.51,2026-02-22,2,February,0,BuyRentKenya
"Lake View, Westlands",House,4,0,2583.34,Staff quarters,1,0,0,0,0,0,0,0,1,0,0,500000.0,193.55,2026-02-22,2,February,0,BuyRentKenya
Syokimau,Townhouse,4,4,1722.22,Staff quarters,1,0,0,0,0,0,0,0,1,0,0,100000.0,58.06,2026-02-22,2,February,0,BuyRentKenya
Syokimau,House,4,3,2583.34,Staff quarters,1,0,0,0,0,0,0,0,1,0,0,100000.0,38.71,2026-02-22,2,February,0,BuyRentKenya
Syokimau,House,8,8,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,130000.0,50.32,2026-02-22,2,February,0,BuyRentKenya
"Brookside, Westlands",Townhouse,3,4,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,350000.0,203.23,2026-02-22,2,February,0,BuyRentKenya
"Westlands Area, Westlands",Townhouse,5,5,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,260000.0,150.97,2026-02-22,2,February,0,BuyRentKenya
Muthaiga,House,6,6,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,1100000.0,425.81,2026-02-22,2,February,0,BuyRentKenya
Kitengela,House,4,4,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,150000.0,58.06,2026-02-22,2,February,0,BuyRentKenya
Syokimau,Townhouse,5,5,1722.22,Staff quarters,1,0,0,0,0,0,0,0,1,0,0,110000.0,63.87,2026-02-22,2,February,0,BuyRentKenya
Kitengela,House,5,5,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,100000.0,38.71,2026-02-22,2,February,0,BuyRentKenya
Ridgeways,Villa,4,4,3772.75,None,0,0,0,0,0,0,0,0,0,0,0,320000.0,84.82,2026-02-22,2,February,0,BuyRentKenya
"Runda, Westlands",House,1,1,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,100000.0,38.71,2026-02-22,2,February,0,BuyRentKenya
"Lower Kabete, Westlands",House,4,5,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,525000.0,203.23,2026-02-22,2,February,0,BuyRentKenya
Kiambu Road,House,5,6,2583.34,Garden,1,0,0,0,0,1,0,0,0,0,0,180000.0,69.68,2026-02-22,2,February,0,BuyRentKenya
"Runda, Westlands",Townhouse,4,4,1722.22,Garden,1,0,0,0,0,1,0,0,0,0,0,190000.0,110.32,2026-02-22,2,February,0,BuyRentKenya
Kiambu Road,Townhouse,4,4,1722.22,Pool,1,0,1,0,0,0,0,0,0,0,0,180000.0,104.52,2026-02-22,2,February,0,BuyRentKenya
Kileleshwa,Townhouse,5,6,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,485000.0,281.61,2026-02-22,2,February,0,BuyRentKenya
Kileleshwa,Townhouse,5,6,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,380000.0,220.65,2026-02-22,2,February,0,BuyRentKenya
"Runda, Westlands",Townhouse,4,4,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,646000.0,375.1,2026-02-22,2,February,0,BuyRentKenya
"Nyali Area, Nyali",House,5,5,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,400000.0,154.84,2026-02-22,2,February,0,BuyRentKenya
"Runda, Westlands",House,5,5,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,500000.0,193.55,2026-02-22,2,February,0,BuyRentKenya
"Kitisuru, Westlands",House,4,4,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,450000.0,174.19,2026-02-22,2,February,0,BuyRentKenya
Karen,Bungalow,3,4,1700.7,None,0,0,0,0,0,0,0,0,0,0,0,300000.0,176.4,2026-02-22,2,February,0,BuyRentKenya
"Kitisuru, Westlands",House,4,4,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,606000.0,234.58,2026-02-22,2,February,0,BuyRentKenya
"Lower Kabete, Westlands",House,5,5,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,450000.0,174.19,2026-02-22,2,February,0,BuyRentKenya
"Spring Valley, Westlands",House,4,4,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,325000.0,125.81,2026-02-22,2,February,0,BuyRentKenya
"Loresho, Westlands",Villa,5,6,3772.75,Staff quarters,1,0,0,0,0,0,0,0,1,0,0,500000.0,132.53,2026-02-22,2,February,0,BuyRentKenya
"Runda, Westlands",Townhouse,4,4,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,490000.0,284.52,2026-02-22,2,February,0,BuyRentKenya
"Spring Valley, Westlands",House,5,5,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,750000.0,290.32,2026-02-22,2,February,0,BuyRentKenya
"Runda, Westlands",House,1,1,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,130000.0,50.32,2026-02-22,2,February,0,BuyRentKenya
"Lower Kabete, Westlands",Townhouse,5,5,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,525000.0,304.84,2026-02-22,2,February,0,BuyRentKenya
"Gigiri, Westlands",House,5,6,2583.34,Aircon,1,0,0,0,0,0,0,0,0,1,0,700000.0,270.97,2026-02-22,2,February,0,BuyRentKenya
